NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Date
0.0404,0.0493,0.08,0.0226,0.13140000000000002,0.0516,0.0516,0.1604,0.009000000000000001,0.0287,1975-02-01
0.07139999999999999,0.0662,0.0506,-0.0232,0.009899999999999999,-0.0086,0.1076,0.0129,-0.0132,0.0415,1975-03-01
0.0301,0.0412,0.0956,0.0725,0.0557,-0.0096,0.0259,0.006500000000000001,-0.0161,0.0327,1975-04-01
0.052199999999999996,0.025699999999999997,0.0278,0.1235,0.0592,0.0352,0.04,0.0652,0.0852,0.0572,1975-05-01
0.0525,0.1023,0.0356,0.0625,0.0229,0.0404,0.0745,0.0095,0.10710000000000001,0.059500000000000004,1975-06-01
-0.0538,-0.0203,-0.0591,-0.0424,-0.0942,-0.0421,-0.0746,-0.12029999999999999,-0.0478,-0.061399999999999996,1975-07-01
-0.031400000000000004,-0.0347,-0.008,-0.0089,-0.0297,-0.0356,-0.0039000000000000003,-0.0332,-0.0124,-0.051399999999999994,1975-08-01
-0.024399999999999998,-0.0246,-0.057999999999999996,-0.0116,-0.0085,-0.0126,-0.0349,-0.0653,-0.009899999999999999,-0.06309999999999999,1975-09-01
0.1059,0.0882,0.0567,-0.013300000000000001,0.084,0.0682,0.0992,0.10679999999999999,0.0658,0.0391,1975-10-01
0.0409,0.0335,0.0301,-0.016399999999999998,0.050300000000000004,0.0426,0.0466,0.0513,0.0315,0.0358,1975-11-01
-0.0151,-0.0044,-0.0132,9e-4,-0.0125,-0.0011,-0.0304,-0.0636,0.0134,-0.0026,1975-12-01
0.1092,0.1562,0.1685,0.08460000000000001,0.1826,0.0949,0.0898,0.07730000000000001,0.083,0.1295,1976-01-01
-0.010700000000000001,0.0388,0.0173,-0.0311,0.0116,0.035699999999999996,0.046799999999999994,-0.0653,-0.0352,0.0313,1976-02-01
0.0073,0.0353,0.011399999999999999,0.0722,0.029300000000000003,0.0058,0.0346,0.0653,0.0144,0.019799999999999998,1976-03-01
-0.0167,0.0184,-0.014199999999999999,0.0215,-0.0341,0.0172,-0.0467,-0.043,0.0063,-0.0155,1976-04-01
-0.0215,-0.0311,-0.0123,0.055099999999999996,0.0049,-0.0294,-0.057699999999999994,-0.0281,-0.0146,-0.0171,1976-05-01
0.0362,0.042199999999999994,0.037000000000000005,0.0509,0.08199999999999999,0.0358,0.0152,0.036699999999999997,0.0425,0.054000000000000006,1976-06-01
0.0148,-0.0106,-0.018500000000000003,-0.0062,-0.022000000000000002,0.0125,-0.0233,-0.0038,0.0282,-5e-4,1976-07-01
-0.0031,-0.0144,-0.0168,-0.0086,-0.0083,0.047400000000000005,0.028900000000000002,0.0217,0.0296,-0.011399999999999999,1976-08-01
0.0155,0.0449,0.0108,0.0591,0.028999999999999998,0.0159,0.0043,0.0362,0.0408,0.009000000000000001,1976-09-01
-0.016200000000000003,-0.0115,-0.0327,-0.0242,-0.045,0.0129,-0.0089,-0.0374,-0.008100000000000001,-0.0043,1976-10-01
0.0174,-0.0070999999999999995,-0.0038,0.008199999999999999,0.016399999999999998,0.031400000000000004,0.0484,-0.0971,0.031400000000000004,0.0208,1976-11-01
0.052199999999999996,0.0967,0.058499999999999996,0.0633,0.0385,0.0344,0.0233,0.0626,0.0649,0.08410000000000001,1976-12-01
-0.0409,-0.042,-0.0601,0.0029,-0.0387,0.0011,-0.07150000000000001,-0.08839999999999999,0.0084,-0.0418,1977-01-01
-0.0139,-0.0349,-0.0063,-0.0301,-0.0063,0.009899999999999999,-0.0183,-0.0021,-0.034,-0.0172,1977-02-01
-0.0139,-0.0334,-0.0034000000000000002,-0.0208,-3e-4,-0.0103,-0.0276,-0.0179,0.0019,-9e-4,1977-03-01
0.0053,0.0316,0.0058,0.0253,-0.0346,0.0066,-0.034300000000000004,-0.0521,0.0194,0.021400000000000002,1977-04-01
-0.009399999999999999,-0.0049,-0.0296,-0.0040999999999999995,-0.0149,0.0144,-0.0276,-0.018799999999999997,0.0168,-0.0086,1977-05-01
0.0453,0.0429,0.034,0.060899999999999996,0.07769999999999999,0.019299999999999998,0.060599999999999994,0.09029999999999999,0.057,0.053,1977-06-01
0.012199999999999999,-0.024399999999999998,-0.0362,-0.018000000000000002,-0.0016,-0.0086,-0.0018,-0.022400000000000003,0.0087,-0.0039000000000000003,1977-07-01
0.0011,-0.0085,-0.0126,-0.057699999999999994,0.005,-0.0226,0.0462,0.0383,-0.0323,-0.012199999999999999,1977-08-01
0.0025,0.0155,-0.0098,0.0073,-0.0178,0.0348,-0.0070999999999999995,-0.0089,0.020099999999999996,-7.000000000000001e-4,1977-09-01
-0.0335,-0.0446,-0.0458,-0.0355,-0.0322,-0.050499999999999996,-0.0317,-0.0175,-0.031400000000000004,-0.044500000000000005,1977-10-01
0.045899999999999996,0.0195,0.0433,0.0345,0.0525,0.0218,0.0558,0.0608,0.042800000000000005,0.065,1977-11-01
0,-0.0075,0.0073,0.0189,0.0239,0.0215,-0.0125,0.0062,-0.0033,0.0060999999999999995,1977-12-01
-0.053,-0.06860000000000001,-0.0605,-0.0693,-0.0475,-0.0416,-0.0684,-0.0192,-0.0453,-0.053200000000000004,1978-01-01
0.0012,0.0039000000000000003,-0.0262,-0.0108,-0.0345,0.041299999999999996,-0.0043,-0.03,-0.0040999999999999995,-0.0015,1978-02-01
0.0417,0.060899999999999996,0.039,0.0206,-0.0060999999999999995,0.0262,0.0286,0.0417,0.024700000000000003,0.0545,1978-03-01
0.0692,0.0962,0.11460000000000001,0.06709999999999999,0.133,0.029300000000000003,0.1084,0.0925,0.0018,0.09369999999999999,1978-04-01
0.042199999999999994,0.002,0.0412,0.0089,0.0167,-0.0039000000000000003,0.0125,0.051699999999999996,0.0070999999999999995,0.026099999999999998,1978-05-01
-0.0026,-0.0281,-0.0147,-0.0374,-0.0034999999999999996,-0.015300000000000001,-0.0197,0.011399999999999999,0.0084,-0.0033,1978-06-01
0.0353,0.0471,0.0784,0.0334,0.0858,0.014199999999999999,0.051399999999999994,0.0886,0.028300000000000002,0.0661,1978-07-01
0.0414,0.0298,0.0394,0.0509,0.0601,0.0355,0.0571,0.009899999999999999,0.0046,0.0637,1978-08-01
-0.0038,-0.005,-0.021,0.04769999999999999,-0.0415,0.012199999999999999,-0.026600000000000002,-0.0275,-0.0024,-0.0127,1978-09-01
-0.1158,-0.1117,-0.1133,-0.1061,-0.10830000000000001,-0.0447,-0.1414,-0.1284,-0.0707,-0.1409,1978-10-01
0.021400000000000002,0.0073,0.0286,0.0617,0.0509,0.029900000000000003,0.0259,0.0519,0.03,0.0252,1978-11-01
0.017,-0.0060999999999999995,0.0144,0.0281,0.0642,9e-4,-0.006,0.0341,-0.0123,0.0129,1978-12-01
0.042,0.0508,0.0653,0.031200000000000002,0.043,0.0366,0.0575,0.014199999999999999,0.0636,0.060899999999999996,1979-01-01
-0.0351,-0.0359,-0.0449,0.0063,-0.0332,-0.0063,-0.044199999999999996,-0.0452,-0.0163,-0.0325,1979-02-01
0.041299999999999996,0.0661,0.0735,0.09359999999999999,0.0761,0.0016,0.061500000000000006,0.0504,0.0233,0.0817,1979-03-01
0.002,0.029500000000000002,-0.0046,0.0433,0.0032,-0.0215,0.0087,0.0043,-0.0274,0.0151,1979-04-01
